Data,Jogo,Real,Previsto,Pontos,Tipo
2024-01-23,Iran vs United Arab Emirates,2 x 1,4 x 1,5,Gols de um time
2024-01-23,Guinea vs Senegal,0 x 2,0 x 19,5,Gols de um time
2024-01-24,Japan vs Indonesia,3 x 1,12 x 0,0,Errou
2024-01-24,Zambia vs Morocco,0 x 1,0 x 4,5,Gols de um time
2024-01-25,South Korea vs Malaysia,3 x 3,2 x 2,0,Errou
2024-01-25,Saudi Arabia vs Thailand,0 x 0,23 x 0,5,Gols de um time
2024-01-28,Australia vs Indonesia,4 x 0,12 x 0,5,Gols de um time
2024-01-29,Qatar vs Palestine,2 x 1,6 x 0,0,Errou
2024-01-29,Ivory Coast vs Senegal,1 x 1,0 x 9,0,Errou
2024-01-30,Saudi Arabia vs South Korea,1 x 1,1 x 2,5,Gols de um time
2024-01-30,Morocco vs South Africa,0 x 2,3 x 0,0,Errou
2024-01-31,Bahrain vs Japan,1 x 3,0 x 5,0,Errou
2024-01-31,Iran vs Syria,1 x 1,16 x 0,0,Errou
2024-02-02,Australia vs South Korea,1 x 2,1 x 1,5,Gols de um time
2024-02-03,Iran vs Japan,2 x 1,1 x 1,5,Gols de um time
2024-02-03,Qatar vs Uzbekistan,1 x 1,3 x 1,5,Gols de um time
2024-02-03,Costa Rica vs El Salvador,2 x 0,8 x 0,5,Gols de um time
2024-02-06,Jordan vs South Korea,2 x 0,1 x 3,0,Errou
2024-02-07,Qatar vs Iran,3 x 2,1 x 3,0,Errou
2024-02-10,Qatar vs Jordan,3 x 1,2 x 1,5,Gols de um time
2024-02-11,None vs None,0 x 0,2 x 1,0,Errou
2024-02-11,None vs None,1 x 0,1 x 1,5,Gols de um time
2024-02-12,None vs None,1 x 2,2 x 1,0,Errou
2024-02-16,None vs None,1 x 2,1 x 2,20,Placar exato
2024-02-16,None vs None,0 x 0,2 x 1,0,Errou
2024-02-26,None vs None,3 x 1,2 x 1,5,Gols de um time
2024-03-01,Trinidad and Tobago vs Jamaica,0 x 1,0 x 8,5,Gols de um time
2024-03-03,Trinidad and Tobago vs Jamaica,0 x 0,0 x 8,5,Gols de um time
2024-03-10,None vs None,1 x 2,1 x 2,20,Placar exato
2024-03-14,None vs None,3 x 3,2 x 1,0,Errou
2024-03-14,None vs None,2 x 1,1 x 1,5,Gols de um time
2024-03-16,None vs None,1 x 1,1 x 1,20,Placar exato
2024-03-21,Panama vs Mexico,0 x 3,1 x 1,0,Errou
2024-03-21,United States vs Jamaica,3 x 1,2 x 1,5,Gols de um time
2024-03-21,Poland vs Estonia,5 x 1,27 x 0,0,Errou
2024-03-21,Wales vs Finland,4 x 1,6 x 0,0,Errou
2024-03-21,Qatar vs Kuwait,3 x 0,5 x 0,5,Gols de um time
2024-03-21,Japan vs North Korea,1 x 0,14 x 0,5,Gols de um time
2024-03-21,South Korea vs Thailand,1 x 1,32 x 0,0,Errou
2024-03-21,Iran vs Turkmenistan,5 x 0,22 x 0,5,Gols de um time
2024-03-21,Saudi Arabia vs Tajikistan,1 x 0,34 x 0,5,Gols de um time
2024-03-21,Australia vs Lebanon,2 x 0,47 x 0,5,Gols de um time
2024-03-21,Ecuador vs Guatemala,2 x 0,4 x 0,5,Gols de um time
2024-03-21,None vs Sweden,5 x 2,6 x 0,0,Errou
2024-03-21,Venezuela vs None,1 x 2,0 x 5,0,Errou
2024-03-22,France vs Chile,0 x 3,0 x 3,20,Placar exato
2024-03-22,None vs El Salvador,3 x 0,17 x 0,5,Gols de um time
2024-03-22,Morocco vs Angola,1 x 0,2 x 2,0,Errou
2024-03-22,None vs Scotland,4 x 0,6 x 0,5,Gols de um time
2024-03-22,Peru vs Nicaragua,2 x 0,5 x 0,5,Gols de um time
2024-03-22,Senegal vs Gabon,3 x 0,9 x 0,5,Gols de um time
2024-03-22,None vs Colombia,0 x 1,2 x 1,5,Gols de um time
2024-03-23,Tunisia vs None,0 x 0,0 x 3,5,Gols de um time
2024-03-23,Canada vs Trinidad and Tobago,2 x 0,11 x 0,5,Gols de um time
2024-03-23,Costa Rica vs Honduras,3 x 1,4 x 0,0,Errou
2024-03-23,Denmark vs Switzerland,0 x 0,1 x 2,0,Errou
2024-03-23,None vs None,0 x 1,2 x 1,5,Gols de um time
2024-03-23,None vs None,0 x 2,2 x 1,0,Errou
2024-03-23,Republic of Ireland vs None,0 x 0,0 x 9,5,Gols de um time
2024-03-24,Jamaica vs Panama,1 x 0,1 x 1,5,Gols de um time
2024-03-24,United States vs Mexico,2 x 0,2 x 1,5,Gols de um time
2024-03-24,Ecuador vs None,0 x 2,1 x 2,5,Gols de um time
2024-03-25,Cyprus vs Serbia,0 x 1,0 x 52,5,Gols de um time
2024-03-26,Egypt vs None,2 x 4,0 x 4,5,Gols de um time
2024-03-26,Wales vs Poland,0 x 0,1 x 2,0,Errou
2024-03-26,Kuwait vs Qatar,1 x 2,0 x 5,0,Errou
2024-03-26,Thailand vs South Korea,0 x 3,0 x 32,5,Gols de um time
2024-03-26,Turkmenistan vs Iran,0 x 1,0 x 22,5,Gols de um time
2024-03-26,Tajikistan vs Saudi Arabia,1 x 1,0 x 34,0,Errou
2024-03-26,Australia vs Lebanon,5 x 0,47 x 0,5,Gols de um time
2024-03-26,None vs Costa Rica,3 x 1,3 x 1,20,Placar exato
2024-03-26,Colombia vs Romania,3 x 2,6 x 0,0,Errou
2024-03-26,Denmark vs Faroe Islands,2 x 0,50 x 0,5,Gols de um time
2024-03-26,None vs None,2 x 2,2 x 2,20,Placar exato
2024-03-26,None vs Chile,3 x 2,3 x 1,5,Gols de um time
2024-03-26,None vs None,2 x 1,2 x 2,5,Gols de um time
2024-03-26,Ivory Coast vs None,2 x 1,0 x 4,0,Errou
2024-03-26,Morocco vs Mauritania,0 x 0,103 x 0,5,Gols de um time
2024-03-26,Peru vs Dominican Republic,4 x 1,9 x 0,0,Errou
2024-03-26,Republic of Ireland vs Switzerland,0 x 1,0 x 7,5,Gols de um time
2024-03-26,Senegal vs Benin,1 x 0,29 x 0,5,Gols de um time
2024-03-26,Slovenia vs None,2 x 0,0 x 5,0,Errou
2024-03-26,None vs None,3 x 3,2 x 1,0,Errou
2024-03-30,None vs None,1 x 5,1 x 2,5,Gols de um time
2024-04-11,None vs None,0 x 0,1 x 1,0,Errou
2024-04-16,None vs None,1 x 0,1 x 2,5,Gols de um time
2024-04-16,None vs None,2 x 3,1 x 1,0,Errou
2024-04-16,None vs None,3 x 1,1 x 1,5,Gols de um time
2024-04-21,None vs None,1 x 0,2 x 1,0,Errou
2024-04-23,None vs None,1 x 1,1 x 2,5,Gols de um time
2024-05-04,None vs None,1 x 2,1 x 2,20,Placar exato
2024-05-13,None vs None,1 x 0,1 x 1,5,Gols de um time
2024-05-20,None vs None,1 x 2,2 x 1,0,Errou
2024-05-30,None vs None,0 x 2,2 x 1,0,Errou
2024-05-31,None vs None,0 x 0,1 x 2,0,Errou
2024-05-31,Germany vs Mexico,0 x 1,0 x 4,5,Gols de um time
2024-05-31,Costa Rica vs None,0 x 0,1 x 1,0,Errou
2024-06-03,None vs None,1 x 0,1 x 1,5,Gols de um time
2024-06-03,None vs North Macedonia,3 x 0,16 x 0,5,Gols de um time
2024-06-03,None vs Portugal,3 x 0,15 x 0,5,Gols de um time
2024-06-03,None vs Ukraine,0 x 0,6 x 0,5,Gols de um time
2024-06-04,Austria vs Serbia,2 x 1,1 x 2,0,Errou
2024-06-04,None vs Turkey,0 x 0,5 x 0,5,Gols de um time
2024-06-04,None vs Finland,4 x 2,11 x 0,0,Errou
2024-06-04,Switzerland vs Estonia,4 x 0,30 x 0,5,Gols de um time
2024-06-05,None vs Montenegro,2 x 0,20 x 0,5,Gols de um time
2024-06-05,Denmark vs Sweden,2 x 1,5 x 0,0,Errou
2024-06-05,None vs Luxembourg,3 x 0,54 x 0,5,Gols de um time
2024-06-05,Mexico vs None,0 x 4,1 x 1,0,Errou
2024-06-05,None vs Andorra,5 x 0,83 x 0,5,Gols de um time
2024-06-06,None vs None,0 x 0,1 x 2,0,Errou
2024-06-06,None vs None,0 x 1,1 x 1,5,Gols de um time
2024-06-06,Gibraltar vs Wales,0 x 0,0 x 160,5,Gols de um time
2024-06-06,None vs Canada,4 x 0,2 x 1,0,Errou
2024-06-06,Senegal vs DR Congo,1 x 1,6 x 0,0,Errou
2024-06-06,Belgium vs Qatar,0 x 0,0 x 39,5,Gols de um time
2024-06-06,Myanmar vs Japan,0 x 5,0 x 201,5,Gols de um time
2024-06-06,Singapore vs South Korea,0 x 7,0 x 157,5,Gols de um time
2024-06-06,Hong Kong vs Iran,2 x 4,0 x 37,0,Errou
2024-06-06,Pakistan vs Saudi Arabia,0 x 3,2 x 2,0,Errou
2024-06-06,Bangladesh vs Australia,0 x 2,0 x 184,5,Gols de um time
2024-06-06,Costa Rica vs Saint Kitts and Nevis,4 x 0,49 x 0,5,Gols de um time
2024-06-06,Panama vs Guyana,2 x 0,15 x 0,5,Gols de um time
2024-06-06,Jamaica vs Dominican Republic,1 x 0,17 x 0,5,Gols de um time
2024-06-07,None vs Iceland,0 x 1,10 x 0,0,Errou
2024-06-07,None vs Greece,2 x 1,9 x 0,0,Errou
2024-06-07,Peru vs Paraguay,0 x 0,1 x 1,0,Errou
2024-06-07,Poland vs Ukraine,3 x 1,5 x 0,0,Errou
2024-06-07,Morocco vs Zambia,2 x 1,4 x 0,0,Errou
2024-06-08,None vs Luxembourg,3 x 0,57 x 0,5,Gols de um time
2024-06-08,Denmark vs Norway,3 x 1,4 x 1,5,Gols de um time
2024-06-08,Mexico vs None,2 x 3,1 x 2,0,Errou
2024-06-08,None vs None,1 x 2,2 x 2,5,Gols de um time
2024-06-08,None vs Northern Ireland,5 x 1,14 x 0,0,Errou
2024-06-08,Sweden vs Serbia,0 x 3,1 x 3,5,Gols de um time
2024-06-08,Switzerland vs Austria,1 x 1,3 x 1,5,Gols de um time
2024-06-08,United States vs Colombia,1 x 5,2 x 1,0,Errou
2024-06-09,None vs Ecuador,1 x 0,2 x 0,5,Gols de um time
2024-06-09,None vs Canada,0 x 0,2 x 1,0,Errou
2024-06-09,None vs Portugal,1 x 0,12 x 0,5,Gols de um time
2024-06-09,Slovakia vs Wales,4 x 0,1 x 2,0,Errou
2024-06-09,Mauritania vs Senegal,0 x 1,0 x 125,5,Gols de um time
2024-06-09,Grenada vs Costa Rica,0 x 3,0 x 24,5,Gols de um time
2024-06-09,Montserrat vs Panama,1 x 3,2 x 1,0,Errou
2024-06-09,Dominica vs Jamaica,2 x 3,0 x 17,0,Errou
2024-06-10,None vs Iceland,4 x 0,9 x 0,5,Gols de um time
2024-06-10,Poland vs Turkey,2 x 1,4 x 0,0,Errou
2024-06-11,None vs None,1 x 0,1 x 1,5,Gols de um time
2024-06-11,Chile vs Paraguay,3 x 0,2 x 1,0,Errou
2024-06-11,None vs Republic of Ireland,3 x 0,8 x 0,5,Gols de um time
2024-06-11,Morocco vs Congo,6 x 0,99 x 0,5,Gols de um time
2024-06-11,Qatar vs India,2 x 1,45 x 0,0,Errou
2024-06-11,Japan vs Syria,5 x 0,17 x 0,5,Gols de um time
2024-06-11,South Korea vs China PR,1 x 0,12 x 0,5,Gols de um time
2024-06-11,Iran vs Uzbekistan,0 x 0,6 x 0,5,Gols de um time
2024-06-11,Saudi Arabia vs Jordan,1 x 2,2 x 1,0,Errou
2024-06-11,Australia vs Palestine,5 x 0,11 x 0,5,Gols de um time
2024-06-12,Ecuador vs Germany,3 x 1,3 x 0,5,Gols de um time
2024-06-12,United States vs None,1 x 1,1 x 1,20,Placar exato
2024-06-14,None vs Scotland,5 x 1,5 x 0,5,Gols de um time
2024-06-14,None vs Guatemala,4 x 1,10 x 0,0,Errou
2024-06-14,El Salvador vs Peru,0 x 1,0 x 5,5,Gols de um time
2024-06-15,Hungary vs Switzerland,1 x 3,0 x 5,0,Errou
2024-06-15,None vs None,3 x 0,2 x 2,0,Errou
2024-06-15,None vs France,2 x 1,7 x 0,0,Errou
2024-06-15,Colombia vs Germany,3 x 0,5 x 0,5,Gols de um time
2024-06-16,Ecuador vs Honduras,2 x 1,4 x 0,0,Errou
2024-06-16,Slovenia vs Denmark,1 x 1,0 x 4,0,Errou
2024-06-16,Serbia vs None,0 x 1,1 x 3,0,Errou
2024-06-16,Poland vs None,1 x 2,1 x 2,20,Placar exato
2024-06-16,Panama vs Paraguay,0 x 1,2 x 1,5,Gols de um time
2024-06-17,Austria vs None,0 x 1,1 x 4,0,Errou
2024-06-17,None vs Slovakia,0 x 1,5 x 0,0,Errou
2024-06-18,None vs Czech Republic,2 x 1,7 x 0,0,Errou
2024-06-19,None vs Hungary,2 x 0,5 x 0,5,Gols de um time
2024-06-19,Scotland vs Switzerland,1 x 1,0 x 5,0,Errou
2024-06-19,None vs France,2 x 2,7 x 0,0,Errou
2024-06-20,None vs None,1 x 0,2 x 2,0,Errou
2024-06-20,Slovenia vs Serbia,1 x 1,0 x 3,0,Errou
2024-06-20,Denmark vs None,1 x 1,1 x 2,5,Gols de um time
2024-06-20,None vs Canada,2 x 0,2 x 1,5,Gols de um time
2024-06-21,None vs None,0 x 1,1 x 1,5,Gols de um time
2024-06-21,Poland vs Austria,1 x 3,3 x 1,0,Errou
2024-06-21,None vs None,0 x 0,2 x 2,0,Errou
2024-06-21,Peru vs Chile,0 x 0,1 x 2,0,Errou
2024-06-22,None vs Romania,2 x 0,10 x 0,5,Gols de um time
2024-06-22,Turkey vs None,0 x 3,0 x 5,5,Gols de um time
2024-06-22,Ecuador vs Venezuela,1 x 2,2 x 0,0,Errou
2024-06-22,Mexico vs Jamaica,1 x 0,1 x 1,5,Gols de um time
2024-06-23,None vs Switzerland,1 x 1,2 x 2,0,Errou
2024-06-23,United States vs Germany,2 x 0,6 x 0,5,Gols de um time
2024-06-23,None vs Panama,3 x 1,1 x 1,5,Gols de um time
2024-06-24,France vs None,0 x 1,0 x 8,5,Gols de um time
2024-06-24,None vs None,1 x 1,2 x 1,5,Gols de um time
2024-06-24,Colombia vs Paraguay,2 x 1,3 x 1,5,Gols de um time
2024-06-24,None vs Costa Rica,0 x 0,2 x 1,0,Errou
2024-06-25,None vs Slovenia,0 x 0,6 x 0,5,Gols de um time
2024-06-25,Denmark vs Serbia,0 x 0,2 x 1,0,Errou
2024-06-25,None vs Austria,2 x 3,4 x 1,0,Errou
2024-06-25,None vs Poland,1 x 1,2 x 1,5,Gols de um time
2024-06-25,Peru vs Canada,0 x 1,0 x 3,5,Gols de um time
2024-06-25,Chile vs None,0 x 1,0 x 3,5,Gols de um time
2024-06-26,Ukraine vs None,0 x 0,0 x 8,5,Gols de um time
2024-06-26,Georgia vs None,2 x 0,0 x 14,0,Errou
2024-06-26,Ecuador vs Jamaica,3 x 1,1 x 1,5,Gols de um time
2024-06-26,Venezuela vs Mexico,1 x 0,0 x 3,0,Errou
2024-06-27,United States vs Panama,1 x 2,2 x 1,0,Errou
2024-06-27,None vs Germany,5 x 0,4 x 0,5,Gols de um time
2024-06-28,Colombia vs Costa Rica,3 x 0,2 x 1,0,Errou
2024-06-28,Paraguay vs None,1 x 4,0 x 3,0,Errou
2024-06-29,Switzerland vs None,2 x 0,2 x 2,5,Gols de um time
2024-06-29,None vs Denmark,2 x 0,2 x 2,5,Gols de um time
2024-06-29,None vs Peru,2 x 0,4 x 0,5,Gols de um time
2024-06-29,Canada vs Chile,0 x 0,2 x 1,0,Errou
2024-06-30,None vs None,2 x 1,1 x 2,0,Errou
2024-06-30,None vs Slovakia,2 x 1,5 x 0,0,Errou
2024-06-30,None vs Georgia,4 x 1,15 x 0,0,Errou
2024-06-30,Mexico vs Ecuador,0 x 0,1 x 1,0,Errou
2024-06-30,Jamaica vs Venezuela,0 x 3,3 x 1,0,Errou
2024-07-01,None vs None,1 x 0,2 x 2,0,Errou
2024-07-01,None vs Slovenia,0 x 0,5 x 0,5,Gols de um time
2024-07-01,United States vs None,0 x 1,2 x 1,5,Gols de um time
2024-07-01,Germany vs Panama,1 x 3,0 x 4,0,Errou
2024-07-02,Romania vs None,0 x 3,0 x 9,5,Gols de um time
2024-07-02,None vs Colombia,1 x 1,2 x 1,5,Gols de um time
2024-07-02,Costa Rica vs Paraguay,2 x 1,2 x 1,20,Placar exato
2024-07-04,None vs Ecuador,1 x 1,2 x 0,0,Errou
2024-07-05,None vs None,1 x 2,2 x 2,5,Gols de um time
2024-07-05,None vs None,0 x 0,2 x 2,0,Errou
2024-07-05,Venezuela vs Canada,1 x 1,0 x 4,0,Errou
2024-07-06,None vs None,0 x 0,1 x 1,0,Errou
2024-07-06,None vs Switzerland,1 x 1,2 x 1,5,Gols de um time
2024-07-06,None vs Turkey,2 x 1,5 x 0,0,Errou
2024-07-06,None vs None,0 x 0,1 x 2,0,Errou
2024-07-06,Colombia vs Panama,5 x 0,2 x 1,0,Errou
2024-07-08,None vs None,1 x 1,1 x 1,20,Placar exato
2024-07-09,None vs None,1 x 0,1 x 1,5,Gols de um time
2024-07-09,None vs None,2 x 1,2 x 2,5,Gols de um time
2024-07-09,None vs Canada,2 x 0,2 x 1,5,Gols de um time
2024-07-10,None vs None,1 x 2,1 x 2,20,Placar exato
2024-07-10,None vs Colombia,0 x 1,1 x 2,0,Errou
2024-07-13,None vs None,2 x 1,1 x 1,5,Gols de um time
2024-07-13,Canada vs None,2 x 2,2 x 1,5,Gols de um time
2024-07-14,None vs None,1 x 0,1 x 1,5,Gols de um time
2024-07-14,None vs None,2 x 1,1 x 2,0,Errou
2024-07-14,None vs Colombia,1 x 0,2 x 1,0,Errou
2024-07-17,None vs None,1 x 1,1 x 1,20,Placar exato
2024-07-24,None vs None,0 x 0,1 x 2,0,Errou
2024-07-26,None vs None,1 x 4,1 x 1,5,Gols de um time
2024-07-28,None vs None,0 x 0,1 x 2,0,Errou
2024-07-30,None vs None,1 x 3,0 x 2,0,Errou
2024-08-01,None vs None,2 x 0,2 x 1,5,Gols de um time
2024-08-05,None vs None,2 x 2,1 x 1,0,Errou
2024-08-12,None vs None,2 x 2,1 x 1,0,Errou
2024-08-14,None vs None,0 x 1,2 x 1,5,Gols de um time
2024-08-17,None vs None,4 x 2,2 x 1,0,Errou
2024-08-27,None vs None,0 x 3,1 x 2,0,Errou
2024-09-01,Guatemala vs None,1 x 1,0 x 5,0,Errou
2024-09-05,Costa Rica vs Guadeloupe,3 x 0,7 x 0,5,Gols de um time
2024-09-05,None vs None,2 x 1,2 x 2,5,Gols de um time
2024-09-05,Scotland vs Poland,2 x 3,0 x 4,0,Errou
2024-09-05,Denmark vs Switzerland,2 x 0,1 x 2,0,Errou
2024-09-05,Serbia vs None,0 x 0,1 x 3,0,Errou
2024-09-05,None vs Chile,3 x 0,3 x 0,20,Placar exato
2024-09-05,Qatar vs United Arab Emirates,1 x 3,2 x 1,0,Errou
2024-09-05,Iran vs Kyrgyzstan,1 x 0,11 x 0,5,Gols de um time
2024-09-05,South Korea vs Palestine,0 x 0,11 x 0,5,Gols de um time
2024-09-05,Japan vs China PR,7 x 0,13 x 0,5,Gols de um time
2024-09-05,Australia vs Bahrain,0 x 1,5 x 0,0,Errou
2024-09-05,Saudi Arabia vs Indonesia,1 x 1,8 x 0,0,Errou
2024-09-06,Morocco vs Gabon,4 x 1,8 x 0,0,Errou
2024-09-06,Senegal vs Burkina Faso,1 x 1,25 x 0,0,Errou
2024-09-06,Jamaica vs Cuba,0 x 0,93 x 0,5,Gols de um time
2024-09-06,None vs Israel,3 x 1,17 x 0,0,Errou
2024-09-06,None vs None,1 x 3,2 x 1,0,Errou
2024-09-06,Wales vs Turkey,0 x 0,3 x 1,0,Errou
2024-09-06,Peru vs Colombia,1 x 1,0 x 3,0,Errou
2024-09-06,None vs Paraguay,0 x 0,2 x 1,0,Errou
2024-09-06,None vs Ecuador,1 x 0,2 x 1,0,Errou
2024-09-07,Mexico vs New Zealand,3 x 0,24 x 0,5,Gols de um time
2024-09-07,United States vs Canada,1 x 2,1 x 1,5,Gols de um time
2024-09-07,None vs Hungary,5 x 0,5 x 0,20,Placar exato
2024-09-07,None vs Portugal,5 x 2,14 x 0,0,Errou
2024-09-07,Republic of Ireland vs None,0 x 2,0 x 8,5,Gols de um time
2024-09-08,None vs None,1 x 2,1 x 2,20,Placar exato
2024-09-08,None vs Scotland,2 x 1,6 x 0,0,Errou
2024-09-08,None vs Poland,1 x 0,2 x 1,0,Errou
2024-09-08,Denmark vs Serbia,2 x 0,2 x 1,5,Gols de um time
2024-09-08,Switzerland vs None,1 x 4,2 x 2,0,Errou
2024-09-09,Morocco vs Lesotho,1 x 0,3 x 2,0,Errou
2024-09-09,Burundi vs Senegal,0 x 1,0 x 84,5,Gols de um time
2024-09-09,Guatemala vs Costa Rica,0 x 0,0 x 5,5,Gols de um time
2024-09-09,None vs None,2 x 0,2 x 2,5,Gols de um time
2024-09-09,Israel vs None,1 x 2,0 x 14,0,Errou
2024-09-09,Montenegro vs Wales,1 x 2,0 x 11,0,Errou
2024-09-10,Mexico vs Canada,0 x 0,1 x 2,0,Errou
2024-09-10,United States vs New Zealand,1 x 1,36 x 0,0,Errou
2024-09-10,Honduras vs Jamaica,1 x 2,0 x 5,0,Errou
2024-09-10,None vs None,2 x 2,2 x 2,20,Placar exato
2024-09-10,None vs Finland,2 x 0,12 x 0,5,Gols de um time
2024-09-10,Colombia vs None,2 x 1,1 x 2,0,Errou
2024-09-10,Ecuador vs Peru,1 x 0,1 x 1,5,Gols de um time
2024-09-10,Chile vs Germany,1 x 2,4 x 0,0,Errou
2024-09-10,Venezuela vs None,0 x 0,0 x 3,5,Gols de um time
2024-09-10,Paraguay vs None,1 x 0,0 x 3,0,Errou
2024-09-10,North Korea vs Qatar,2 x 2,0 x 7,0,Errou
2024-09-10,United Arab Emirates vs Iran,0 x 1,1 x 4,0,Errou
2024-09-10,Oman vs South Korea,1 x 3,0 x 4,0,Errou
2024-09-10,Bahrain vs Japan,0 x 5,0 x 5,20,Placar exato
2024-09-10,Indonesia vs Australia,0 x 0,0 x 12,5,Gols de um time
2024-09-10,China PR vs Saudi Arabia,1 x 2,0 x 9,0,Errou
2024-09-26,None vs None,2 x 1,2 x 1,20,Placar exato
2024-09-29,None vs None,0 x 2,1 x 1,0,Errou
2024-09-29,None vs None,0 x 1,1 x 1,5,Gols de um time
2024-10-06,None vs None,2 x 0,1 x 1,0,Errou
2024-10-07,None vs None,1 x 0,1 x 1,5,Gols de um time
2024-10-10,Nicaragua vs Jamaica,0 x 2,0 x 10,5,Gols de um time
2024-10-10,Israel vs None,1 x 4,0 x 16,0,Errou
2024-10-10,None vs None,2 x 2,1 x 2,5,Gols de um time
2024-10-10,None vs Greece,1 x 2,11 x 0,0,Errou
2024-10-10,Germany vs Colombia,1 x 0,0 x 5,0,Errou
2024-10-10,Ecuador vs Paraguay,0 x 0,1 x 1,0,Errou
2024-10-10,Venezuela vs None,1 x 1,0 x 6,0,Errou
2024-10-10,Chile vs None,1 x 2,1 x 2,20,Placar exato
2024-10-10,Qatar vs Kyrgyzstan,3 x 1,6 x 0,0,Errou
2024-10-10,Uzbekistan vs Iran,0 x 0,0 x 6,5,Gols de um time
2024-10-10,Jordan vs South Korea,0 x 2,1 x 3,0,Errou
2024-10-10,Australia vs China PR,3 x 1,13 x 0,0,Errou
2024-10-10,Saudi Arabia vs Japan,0 x 2,1 x 2,5,Gols de um time
2024-10-11,None vs None,1 x 1,1 x 1,20,Placar exato
2024-10-11,Senegal vs Malawi,4 x 0,45 x 0,5,Gols de um time
2024-10-11,Suriname vs Costa Rica,1 x 1,0 x 12,0,Errou
2024-10-11,Portugal vs None,1 x 2,0 x 12,0,Errou
2024-10-11,Hungary vs None,1 x 1,0 x 6,0,Errou
2024-10-11,Iceland vs Wales,2 x 2,0 x 5,0,Errou
2024-10-11,Peru vs None,1 x 0,1 x 2,5,Gols de um time
2024-10-12,United States vs Panama,2 x 0,2 x 1,5,Gols de um time
2024-10-12,Morocco vs Central African Republic,5 x 0,3 x 2,0,Errou
2024-10-12,None vs Scotland,2 x 1,5 x 0,0,Errou
2024-10-12,Poland vs None,1 x 3,1 x 2,5,Gols de um time
2024-10-12,Serbia vs Switzerland,2 x 0,1 x 2,0,Errou
2024-10-12,None vs Denmark,1 x 0,2 x 2,0,Errou
2024-10-13,Finland vs None,1 x 3,0 x 12,0,Errou
2024-10-14,None vs None,2 x 1,2 x 1,20,Placar exato
2024-10-14,None vs None,1 x 1,1 x 1,20,Placar exato
2024-10-14,Jamaica vs Honduras,0 x 0,5 x 0,5,Gols de um time
2024-10-14,None vs None,1 x 2,2 x 2,5,Gols de um time
2024-10-14,None vs Israel,4 x 1,14 x 0,0,Errou
2024-10-14,None vs None,1 x 0,2 x 2,0,Errou
2024-10-14,Wales vs Montenegro,1 x 0,11 x 0,5,Gols de um time
